when was the last time you wore boots ?,quand avez vous porte des bottes pour la derniere fois ?
join us .,joignez vous a nous .
you re such a jerk .,vous etes un de ces pauvres types !
you re disloyal .,tu es deloyal .
"the bigger they are, the harder they fall .",plus dure sera la chute .
i will give him another chance .,je lui donnerai une autre chance .
keep this .,garde ca .
be careful !,soyez prudent !
we can t work without electricity .,nous ne pouvons pas travailler sans electricite .
my favorite kind of music is jazz .,mon style de musique prefere est le jazz .
let s not tell anybody that we re married .,ne disons a personne que nous sommes maries .
i thought you d be different .,je pensais que vous seriez differente .
the phone rang for a long time .,le telephone a sonne longtemps .
trust no one .,ne faites confiance a personne !
i hear someone singing .,j entends quelqu un chanter .
you re old .,vous etes vieux .
this is a story about a cat .,c est l histoire d un chat .
why are you with me ?,pourquoi etes vous avec moi ?
i like it more and more .,je l aime de plus en plus .
i don t like the taste of tomatoes .,je n aime pas le gout des tomates .
tom has friends all over the world .,tom a des amis partout a travers le monde .
i m looking for a sweater .,je cherche un chandail .
he often eats breakfast there .,il y prend souvent son petit dejeuner .
i want to study abroad .,je veux etudier a l etranger .
i ll do that for tom .,je ferai cela pour tom .
i ll be back on monday .,je serai de retour lundi .
you are very brave .,vous etes tres courageuse .
relax .,relaxe !
i thought it might be you .,je pensais que ca pouvait etre vous .
everyone has good points and bad points .,tout le monde a des points forts et des points faibles .
stay focused .,restez concentrees .
would you like to have tea with us this afternoon ?,voudrais tu prendre le the avec nous cette apres midi ?
beat it .,tire toi de la .
you got the date wrong when you were filling in the check .,tu tes trompe sur la date quand tu as rempli le cheque .
we ve said our goodbyes .,nous nous sommes dit au revoir .
leave out this word .,laisse ce mot de cote !
just follow them .,suivez les juste !
do you have a credit card ?,disposes tu d une carte de credit ?
how did that happen ?,comment cela a t il eu lieu ?
i m free !,je suis libre !
we haven t had time to do that yet .,"on n a pas eu le temps de faire ca, encore ."
when is tom s birthday ?,quand est l anniversaire de tom ?
why did she do that ?,pourquoi a t elle fait ca ?
they had good chemistry .,il y avait une bonne alchimie entre eux .
i trained my dog to bring me the newspaper in the morning .,j ai dresse mon chien a m apporter le journal le matin .
you ve taught us a great deal .,vous nous avez beaucoup enseigne .
tom is respected by everybody .,tom est respecte par tout le monde .
i was devastated .,j etais aneantie .
fill the bottle with water .,remplissez la bouteille d eau !
i can t explain everything now .,je ne peux pas tout expliquer maintenant .
they sell eggs at the supermarket .,ils vendent des ufs au supermarche .
loosen up .,du calme !
they don t have to know .,il n est pas necessaire qu elles sachent .
tom got mad at mary because she was late .,tom s est mis en colere contre mary car elle etait en retard .
you must meet with him .,il faut que tu le rencontres .
she was washing the dishes then .,"pendant ce temps, elle lavait la vaisselle ."
did you play tennis yesterday ?,est ce que tu as joue au tennis hier ?
do you want some of this ?,voulez vous de ceci ?
i ve made a horrible mistake .,j ai fait une erreur horrible .
medication and alcohol often don t mix .,les medicaments et l alcool font rarement bon menage .
we have injuries .,nous avons des blessures .
tom remembered the last time he had hugged mary .,tom s est souvenu de la derniere fois quand il a serre mary dans ses bras .
i have every reason to believe that he is innocent of the crime .,j ai toutes les raisons de croire qu il est innocent de ce crime .
i like neither of the pictures .,je n aime aucune des photos .
he laughed at me .,il rit de moi .
i said so .,je l ai dit .
i saw tom .,je voyais tom .
they are much taller than us .,ils sont beaucoup plus grands que nous .
"wimbledon has eighteen grass courts, including the center court .","wimbledon a dix huit courts sur gazon, dont le court central ."
tom says he doesn t know where mary bought her pearl necklace .,thomas dit qu il ne sait pas ou marie a achete son collier .
does it offend you ?,cela t offense t il ?
can you deliver this ?,pouvez vous livrer ceci ?
it s one of my favorites .,c est un de mes preferes .
where did you hide it ?,ou l as tu cachee ?
what s the matter with you ?,qu est ce qui t arrive ?
was anyone hurt in the train crash ?,quelqu un a t il ete blesse dans l accident ferroviaire ?
i don t like tennis very much .,je n aime pas beaucoup le tennis .
i love to read .,j adore lire .
tom told me i was wrong .,tom m a dit que j avais tort .
a stream of people came out of the theater .,un flot de gens sortit du theatre .
aren t you going to report it ?,ne vas tu pas en faire part ?
don t move .,ne bougez pas .
look out for pickpockets on crowded trains .,fais attention aux voleurs dans les trains bondes .
were you there ?,y etais tu ?
she raised her hands .,elle a leve les mains .
he hasn t been doing anything since he graduated from high school .,il n a rien fait depuis qu il est diplome de l ecole .
i love how you think of other people s needs before your own .,j aime ta maniere de penser aux besoins des autres avant les tiens .
i buy milk almost every day .,j achete du lait presque tous les jours .
tom found the problem .,tom a trouve le probleme .
"she waited and waited, but he never came back .","elle a attendu, attendu, mais il n est jamais revenu ."
we were all soaking wet .,on etait tous trempes .
i asked tom to stay out of it .,j ai demande a tom de rester en dehors de ca .
