je suis heureuse de vous avoir invitee .,estou feliz por ter convidado voce .
je ne suis pas encore tout a fait pret .,eu nao estou bem pronto ainda .
berne est la capitale de la suisse .,berna e a capital da suica .
soyez prudent !,tome cuidado !
quand il est venu ici n est pas clair .,quando ele veio aqui nao e claro .
c est ainsi que je l aurais fait .,foi assim que fiz isso .
j aimerais qu elles cessent de se disputer .,eu gostaria de deixar de argumentar .
etes vous sur que tom est ici ?,tem certeza de que tom esta aqui ?
vous etes fort avise .,voce e muito aconselhado .
dansez avec moi .,dance comigo .
je n etais pas sure de savoir quoi faire .,eu nao tinha certeza do que fazer .
tom avait l air tres excite .,tom parecia muito animado .
couvrez nous .,cobrir nos .
nous sommes a court de biere .,nos somos curtos de cerveja .
quel genre d assurance as tu ?,que tipo de seguro voce tem ?
la plupart d entre nous etait des veterans .,a maioria de nos eram veteranos .
portez ce que vous voulez .,use o que voce quer .
je ne veux simplement pas aller avec toi .,eu so nao quero ir com voce .
"ecoute ton cur, et tu sauras que c est la verite .","ouca o seu coracao, e voce sabera que e a verdade ."
cela revetait il une signification particuliere ?,foi um significado particular ?
tous les bebes animaux ne sont pas mignons .,todos os bebes animais nao sao fofos .
ses plaintes ne cessent jamais .,suas queixas nunca cessam .
tom n a pas fete noel depuis des annees .,tom nao celebrou o natal ha anos .
attrape ma carabine !,pegue meu rifle !
comment s appelait l hotel ? je ne m en souviens plus .,qual foi o nome do hotel ? eu nao me lembro mais .
j ai fait ca tout seul .,eu fiz isso sozinho .
tu as gaspille ton argent .,voce viu seu dinheiro .
il jouait au tennis toute la journee .,ele jogou tenis o dia todo .
je ne veux meme pas que tu sois la .,eu nem quero que voce esteja la .
je le fis pour lui .,eu o fiz por ele .
tom a commence a travailler .,tom comecou a trabalhar .
ne l arretez pas .,nao pare .
je pense qu il y a quelque chose que vous devriez voir .,eu acho que ha algo que voce deve ver .
"ne vous sentez vous pas mieux, maintenant ?","voce nao se sente melhor, agora ?"
les esclaves etaient consideres comme des biens .,os escravos foram considerados propriedade .
la piece etait parfaitement rangee .,o quarto foi perfeitamente remado .
qui etait la fille avec qui tu etais l autre jour ?,quem foi a garota com quem voce era o outro dia ?
j ai pense que tu apprecierais ceci .,eu pensei que voce apreciaria isso .
continuez !,prosseguir !
j aime pas les flics .,eu nao gosto dos policiais .
pensez vous que tom et marie partiront ensemble ?,voce acha que tom e marie vao juntos ?
notre professeur aime sa nouvelle voiture .,nosso professor ama seu carro novo .
"moins une plante a de valeur, plus rapide et splendide est sa croissance .","menos uma planta tem valor, mais rapido e esplendido e o seu crescimento ."
pardon ?,desculpa ?
voyons voir ce qu il y a dans la boite .,vamos ver o que esta na caixa .
une epidemie s abattit sur la ville .,uma epidemia cai na cidade .
je partage une maison avec deux de mes amis .,eu compartilho uma casa com dois dos meus amigos .
"tom est gaucher, n est ce pas ?","tom e canhoto, nao e ?"
je lis le new york times .,eu li o new york times .
elles sont furieuses apres toi .,eles estao furiosos depois de voce .
etes vous suivi ?,voce e seguido ?
ils sont boueux .,eles sao lamacentos .
etes vous perdues ?,voce esta perdido ?
"entre temps, je remplirai les fonctions de president .","enquanto isso, cumprirei as funcoes do presidente ."
notre toit a ete souffle par le vent .,nosso telhado foi soprado pelo vento .
tom me demanda qui etait cet homme .,tom me perguntou quem era esse homem .
"vous recevrez la moitie de l argent maintenant, et l autre moitie une fois le boulot accompli .","voce recebera metade do dinheiro agora, e a outra metade depois que o trabalho e realizado ."
ils ne pouvaient qu ecouter .,eles so podiam ouvir .
je me suis assoupi .,eu estava dormindo .
tom a trouve une vieille carte .,tom encontrou um cartao antigo .
y a t il quelqu un ici qui parle francais ?,ha alguem aqui que fala frances ?
j aime tom .,eu gosto de tom .
etes vous courageuses ?,voce e corajoso ?
il a eu une bonne idee .,ele teve uma boa ideia .
je viens de l exterieur de la ville .,eu venho fora da cidade .
j imagine que c est vrai .,eu imagino que e verdade .
"j entends beaucoup ca, ces derniers temps .","eu ouco isso, ultimamente ."
un angle droit mesure degres .,um angulo reto mede graus .
remettez vos devoirs !,substitua sua licao de casa !
c etait notre plus gros probleme .,foi o nosso maior problema .
il me faut savoir ce que tu sais .,eu preciso saber o que voce sabe .
je dois etudier le francais .,eu tenho que estudar frances .
nous avons ete battues .,nos fomos espancados .
ce n est pas exactement une des priorites .,esta nao e exatamente uma das prioridades .
ou as tu appris ca ?,onde voce aprendeu aquilo ?
comment savez vous laquelle est la votre ?,como voce sabe qual e o seu ?
perdez vous du poids ?,voce perde peso ?
elle vient de californie .,ela vem da california .
je pensais que tu te plaisais ici .,eu pensei que voce ficou satisfeito aqui .
nous lui avons offert un beau poste .,nos oferecemos lhe um bom trabalho .
as tu achete un nouvel ordinateur ?,voce comprou um novo computador ?
personne ne m a dit qu elle avait echoue .,ninguem me disse que ela falhou .
allez vous attraper quelque chose a boire !,va te pegar algo para beber !
je suis le plus grand de la classe .,eu sou o maior da turma .
c etait leur choix .,foi a escolha deles .
l histoire de la chine est plus ancienne que celle du japon .,a historia da china e mais velha que a do japao .
elle marche .,ela caminha .
je suis loyal .,eu sou leal .
j ai aide .,eu ajudei .
vous serez bientot sur pieds .,voce estara nos pes em breve .
"apres avoir lu ses livres, j ai le sentiment de pouvoir construire une maison .","depois de ler seus livros, sinto que eles podem construir uma casa ."
la fille laissa l oiseau s envoler .,a garota deixou o passaro voando para longe .
tom s est cache sous la table .,tom se escondeu debaixo da mesa .
elles soutinrent son droit a parler librement .,eles apoiaram seu direito de falar livremente .
j habitais pres d un parc .,eu morava perto de um parque .
il te faut sortir davantage de la maison .,voce tem que sair mais da casa .
partons nous ?,vamos la ?
tout se passait si vite .,tudo aconteceu tao rapido .
dites nous ce qui se passe .,diga nos o que esta acontecendo .
j etais en chemin pour vous voir .,eu estava a caminho de ver voce .
depuis quand etes vous a boston ?,desde quando voce esta em boston ?
j allais le faire de toute facon .,eu ia fazer isso de qualquer maneira .
parviens tu a distinguer les jumeaux ?,voce consegue distinguir gemeos ?
j ai jete une balle a mon chien et il l a rattrape dans la gueule .,eu joguei uma bala para o meu cachorro e ele a pegou na boca .
sors les ordures !,saindo de lixo !
montre moi comment ca fonctionne .,mostre me como funciona .
es tu prete pour le voyage ?,voce esta pronto para a viagem ?
laissez moi partir !,me deixar ir !
nous avons reussi a allumer un feu .,nos conseguimos acender um incendio .
ne supprime pas ce fichier .,nao exclua este arquivo .
jai achete un stylo comme le tien hier .,eu comprei uma caneta como a sua .
t amuses tu bien ?,voce esta pensando ?
je me suis refuse a payer .,eu me recusei a pagar .
je veux une augmentation .,eu quero um aumento .
je n ai pas compris ce qui se produisait .,eu nao entendi o que estava acontecendo .
"vous voulez vraiment le faire, n est ce pas ?","voce realmente quer fazer isso, nao e ?"
j entends parfois des rumeurs a son sujet .,as vezes ouco rumores sobre isso .
c est une question de gout .,e uma questao de gosto .
"vous pouvez utiliser ce stylo, pour le moment .","voce pode usar essa caneta, no momento ."
je m en sortirai .,vou sair .
aucune montagne au japon n est plus grande que le mont fuji .,nenhuma montanha no japao e maior que a monte fuji .
c est ce que je suis censee etre en train de faire .,isso e o que eu deveria estar fazendo .
j ai demande a tom une faveur .,eu perguntei a tom um favor .
c est quelque chose que ma sur n a jamais eu envie de faire .,e algo que minha irma nunca quis fazer .
je pense que tu es trop malade pour aller a l ecole .,eu acho que voce esta doente demais para ir para a escola .
il s agit de l un des leurs .,este e um deles .
"il est temps pour moi d y aller, les enfants !","e hora de eu ir, criancas !"
vous etes tres intelligente .,voce e muito inteligente .
tout changea .,tudo mudou .
j ignore si tom vit encore ici ou non .,eu nao sei se tom ainda vive aqui ou nao .
que voulez vous etre lorsque vous deviendrez grands ?,o que voce quer ser quando se tornar grande ?
est ce que le temps va se degager ? je l espere .,"""o tempo vai sair ? "" "" espero que sim ."
laisse le the infuser pendant dix minutes .,deixa infundir cha por dez minutos .
