Je suis heureuse de vous avoir invitée.,Estou feliz por ter convidado você.
Je ne suis pas encore tout à fait prêt.,Eu não estou bem pronto ainda.
Berne est la capitale de la Suisse.,Berna é a capital da Suíça.
Soyez prudent !,Tome cuidado !
Quand il est venu ici n'est pas clair.,Quando ele veio aqui não é claro.
C'est ainsi que je l'aurais fait.,Foi assim que fiz isso.
J'aimerais qu'elles cessent de se disputer.,Eu gostaria de deixar de argumentar.
Êtes-vous sûr que Tom est ici ?,Tem certeza de que Tom está aqui?
Vous êtes fort avisé.,Você é muito aconselhado.
Dansez avec moi.,Dance Comigo.
Je n'étais pas sûre de savoir quoi faire.,Eu não tinha certeza do que fazer.
Tom avait l'air très excité.,Tom parecia muito animado.
Couvrez-nous.,Cobrir-nos.
Nous sommes à court de bière.,Nós somos curtos de cerveja.
Quel genre d'assurance as-tu ?,Que tipo de seguro você tem?
La plupart d'entre nous était des vétérans.,A maioria de nós eram veteranos.
Portez ce que vous voulez.,Use o que você quer.
Je ne veux simplement pas aller avec toi.,Eu só não quero ir com você.
"Écoute ton cœur, et tu sauras que c'est la vérité.","Ouça o seu coração, e você saberá que é a verdade."
Cela revêtait-il une signification particulière ?,Foi um significado particular?
Tous les bébés animaux ne sont pas mignons.,Todos os bebês animais não são fofos.
Ses plaintes ne cessent jamais.,Suas queixas nunca cessam.
Tom n'a pas fêté Noël depuis des années.,Tom não celebrou o Natal há anos.
Attrape ma carabine !,Pegue meu rifle!
Comment s'appelait l'hôtel ? Je ne m'en souviens plus.,Qual foi o nome do hotel? Eu não me lembro mais.
J'ai fait ça tout seul.,Eu fiz isso sozinho.
Tu as gaspillé ton argent.,Você viu seu dinheiro.
Il jouait au tennis toute la journée.,Ele jogou tênis o dia todo.
Je ne veux même pas que tu sois là.,Eu nem quero que você esteja lá.
Je le fis pour lui.,Eu o fiz por ele.
Tom a commencé à travailler.,Tom começou a trabalhar.
Ne l'arrêtez pas.,Não pare.
Je pense qu'il y a quelque chose que vous devriez voir.,Eu acho que há algo que você deve ver.
"Ne vous sentez-vous pas mieux, maintenant ?","Você não se sente melhor, agora?"
Les esclaves étaient considérés comme des biens.,Os escravos foram considerados propriedade.
La pièce était parfaitement rangée.,O quarto foi perfeitamente remado.
Qui était la fille avec qui tu étais l'autre jour ?,Quem foi a garota com quem você era o outro dia?
J'ai pensé que tu apprécierais ceci.,Eu pensei que você apreciaria isso.
Continuez !,Prosseguir!
J'aime pas les flics.,Eu não gosto dos policiais.
Pensez-vous que Tom et Marie partiront ensemble ?,Você acha que Tom e Marie vão juntos?
Notre professeur aime sa nouvelle voiture.,Nosso professor ama seu carro novo.
"Moins une plante a de valeur, plus rapide et splendide est sa croissance.","Menos uma planta tem valor, mais rápido e esplêndido é o seu crescimento."
Pardon ?,Desculpa ?
Voyons voir ce qu'il y a dans la boîte.,Vamos ver o que está na caixa.
Une épidémie s'abattit sur la ville.,Uma epidemia cai na cidade.
Je partage une maison avec deux de mes amis.,Eu compartilho uma casa com dois dos meus amigos.
"Tom est gaucher, n'est-ce pas ?","Tom é canhoto, não é?"
Je lis le New York Times.,Eu li o New York Times.
Elles sont furieuses après toi.,Eles estão furiosos depois de você.
Êtes-vous suivi ?,Você é seguido?
Ils sont boueux.,Eles são lamacentos.
Êtes-vous perdues ?,Você está perdido?
"Entre-temps, je remplirai les fonctions de président.","Enquanto isso, cumprirei as funções do presidente."
Notre toit a été soufflé par le vent.,Nosso telhado foi soprado pelo vento.
Tom me demanda qui était cet homme.,Tom me perguntou quem era esse homem.
"Vous recevrez la moitié de l'argent maintenant, et l'autre moitié une fois le boulot accompli.","Você receberá metade do dinheiro agora, e a outra metade depois que o trabalho é realizado."
Ils ne pouvaient qu'écouter.,Eles só podiam ouvir.
Je me suis assoupi.,Eu estava dormindo.
Tom a trouvé une vieille carte.,Tom encontrou um cartão antigo.
Y a-t-il quelqu'un ici qui parle français ?,Há alguém aqui que fala francês?
J'aime Tom.,Eu gosto de Tom.
Êtes-vous courageuses ?,Você é corajoso?
Il a eu une bonne idée.,Ele teve uma boa ideia.
Je viens de l'extérieur de la ville.,Eu venho fora da cidade.
J'imagine que c'est vrai.,Eu imagino que é verdade.
"J'entends beaucoup ça, ces derniers temps.","Eu ouço isso, ultimamente."
Un angle droit mesure 90 degrés.,Um ângulo reto mede 90 graus.
Remettez vos devoirs !,Substitua sua lição de casa!
C'était notre plus gros problème.,Foi o nosso maior problema.
Il me faut savoir ce que tu sais.,Eu preciso saber o que você sabe.
Je dois étudier le français.,Eu tenho que estudar francês.
Nous avons été battues.,Nós fomos espancados.
Ce n'est pas exactement une des priorités.,Esta não é exatamente uma das prioridades.
Où as-tu appris ça ?,Onde você aprendeu aquilo?
Comment savez-vous laquelle est la vôtre ?,Como você sabe qual é o seu?
Perdez-vous du poids ?,Você perde peso?
Elle vient de Californie.,Ela vem da Califórnia.
Je pensais que tu te plaisais ici.,Eu pensei que você ficou satisfeito aqui.
Nous lui avons offert un beau poste.,Nós oferecemos-lhe um bom trabalho.
As-tu acheté un nouvel ordinateur ?,Você comprou um novo computador?
Personne ne m'a dit qu'elle avait échoué.,Ninguém me disse que ela falhou.
Allez vous attraper quelque chose à boire !,Vá te pegar algo para beber!
Je suis le plus grand de la classe.,Eu sou o maior da turma.
C'était leur choix.,Foi a escolha deles.
L'histoire de la Chine est plus ancienne que celle du Japon.,A história da China é mais velha que a do Japão.
Elle marche.,Ela caminha.
Je suis loyal.,Eu sou leal.
