Va !	Ir !
Marche.	Andar.
Bouge !	Mover!
Salut !	Oi !
Salut.	Oi.
Cours !	Curso !
Courez !	Corre!
Prenez vos jambes à vos cous !	Leve as pernas para o seu Cux!
File !	Arquivo!
Filez !	Fleze!
Cours !	Curso !
Fuyez !	Fugir !
Fuyons !	Fuyons!
Cours !	Curso !
Courez !	Corre!
Prenez vos jambes à vos cous !	Leve as pernas para o seu Cux!
File !	Arquivo!
Filez !	Fleze!
Cours !	Curso !
Fuyez !	Fugir !
Fuyons !	Fuyons!
Qui ?	Quem ?
Ça alors !	Uau !
À terre !	Baixa !
Baisse-toi !	Dobre-se!
Baissez-vous !	Abaixe-se!
Au feu !	Incêndio !
À l'aide !	Ajuda !
Cache-toi.	Esconder.
Cachez-vous.	Esconder.
Saute.	Pulou para cima.
Saute.	Pulou para cima.
Ça suffit !	É o bastante !
Stop !	Pare!
Arrête-toi !	Pare !
Attends !	Aguentar !
Attendez !	Esperar !
Attendez.	Esperar.
Attends !	Aguentar !
Attendez !	Esperar !
Attends.	Aguentar.
Attendez.	Esperar.
Commencez.	Começar.
Commence.	Começar.
Poursuis.	Buscou.
Continuez.	Prosseguir.
Poursuivez.	Prosseguir.
Bonjour !	Bom Dia !
Salut !	Oi !
Je comprends.	Eu entendo.
Aha.	Aha.
J'essaye.	Estou tentando.
J'ai gagné !	Eu venci !
Je l'ai emporté !	Eu venci!
J’ai gagné.	Eu venci.
Oh non !	Oh não !
Calme-toi.	Acalmar.
Détends-toi !	Relaxar !
Détendez-vous !	Relaxar!
Relaxe, Max !	Relaxe, max!
Cool, Raoul !	Cool, Raoul!
Du calme !	Calma!
Relaxe !	Relaxado!
Calmez-vous !	Acalmar !
Détends-toi.	Relaxar.
Détends-toi !	Relaxar !
Du calme.	Calma.
Tranquille.	Calma.
Souriez !	Fonte!
Souris pour la caméra.	Mouse para a câmera.
Souriez !	Fonte!
Pardon ?	Desculpa ?
Attaque !	Ataque!
Attaquez !	Ataque!
À l'attaque !	Atacar !
Achetez-la !	Compre!
Achète-le !	Compre !
Achetez-le !	Compre!
Achète-la !	Compre !
Santé !	Saúde !
À votre santé !	Saúde !
Merci !	Obrigado !
Tchin-tchin !	Saúde !
Mangez-le.	Coma.
Mange-le.	Coma.
Lève-toi.	Levante-se.
Lève-toi !	Levante-se !
Debout.	Vertical.
Va, maintenant.	Vá agora.
Allez-y maintenant.	Vá agora.
Vas-y maintenant.	Vá agora.
J'ai pigé !	Eu entendi !
Compris !	Incluindo !
Aha !	AHA!
Pigé ?	Pigé?
Compris ?	Incluindo ?
T'as capté ?	Você capturou?
Monte.	Montado.
Montez.	Montar.
Serre moi dans tes bras !	Segure-me em seus braços !
Serrez moi dans vos bras !	Aperte-me em seus braços!
Je suis tombée.	Caí.
Je suis tombé.	Caí.
J'ai fui.	Eu fugi.
Je tricote.	Eu tricotando.
Je sais.	Eu sei.
Je suis parti.	Deixei.
Je suis partie.	Deixei.
J'ai menti.	Eu menti.
J'ai perdu.	Eu perdi.
Je payais.	Eu paguei.
Je payai.	Eu paguei.
J’ai payé.	Eu paguei.
J'arrête.	Eu paro.
J'ai arrêté.	Eu parei.
J'ai 19 ans.	Eu tenho 19.
Je vais bien.	Estou bem.
Ça va.	Como você está.
Écoutez !	Ouço !
C'est pas possible !	Não é possível !
Impossible !	Impossível!
Hors de question !	Fora de questão !
En aucun cas.	Nunca.
Sans façons !	Sem maneiras!
C'est hors de question !	De jeito nenhum !
Il n'en est pas question !	Não há dúvida !
C'est exclu !	Está excluído!
En aucune manière !	De alguma forma!
Hors de question !	Fora de questão !
Vraiment ?	Verdadeiramente ?
Vrai ?	Verdade ?
Ah bon ?	Ah bom ?
Ah vraiment ?	Ah realmente?
Vraiment ?	Verdadeiramente ?
Merci !	Obrigado !
Merci !	Obrigado !
Merci.	Obrigada.
Essaie.	Tentativas.
Essayez.	Experimente.
Essaye.	Experimente.
On essaye.	Nós tentamos.
Nous avons gagné.	Nós ganhamos.
Nous gagnâmes.	Nós queríamos.
Nous l'avons emporté.	Nós ganhamos isso.
Nous l'emportâmes.	Nós realizamos.
Demande à Tom.	Pergunta tom.
Demande-lui.	Pergunte a ele.
Fantastique !	Fantástico!
Sensass !	Sensato!
Sois calme !	Fique calmo !
Soyez calme !	Fique calmo !
Soyez calmes !	Fique calmo!
Sois détendu !	Relaxe!
Sois juste !	Esteja certo!
Soyez juste !	Esteja certo!
Soyez justes !	Ser justo!
Sois équitable !	Ser equitativo!
Soyez équitable !	Ser equitativo!
Soyez équitables !	Ser equitativo!
Sois honnête.	Seja honesto.
Sois sincère.	Seja honesto.
Soyez honnêtes.	Seja honesto.
Sois gentil.	Seja legal.
Sois gentil !	Seja legal !
Sois gentille !	Seja gentil !
Soyez gentil !	Seja legal !
Soyez gentille !	Seja amável!
Soyez gentils !	Seja legal !
Soyez gentilles !	Seja amável!
Va te faire foutre !	Vá se danar !
Dégage !	Claro !
Casse-toi.	Vá embora.
Pars !	!
Foutez le camp !	Saia já daqui !
Fous le camp !	Saia !
Pars d'ici.	Saia daqui.
Va t'en !	Vá embora !
Disparais !	Desaparecendo!
Fiche le camp.	Saia.
Tire-toi de là.	Tome de lá.
Casse-toi de là.	Saia daqui.
Oust !	OUTE!
Dégage.	Claro.
Fiche le camp d'ici.	Folha o acampamento daqui.
Déguerpissez.	Grau.
Bouge !	Mover!
Décampe !	Decampe!
Brûlez-le.	Queime isto.
Brûlez-la.	Queime isto.
Brûle-la.	Queima.
Brûle-le.	Queima.
Enterrez-le.	Entre.
Enterre-le.	Enterre isso.
Enterrez-la.	Entre.
Enterre-la.	Enterre isso.
Appelle-moi !	Liga para mim !
Appelez-moi !	Liga para mim !
Appelle-nous !	Ligue para nós!
Appelez-nous !	Ligue para nós!
Entrez !	Entre !
Entre.	Entre.
Entre !	Entre !
Entrez !	Entre !
Allez !	Continue !
En avant !	Em frente!
C'est pas vrai, dis !	Não é verdade, digamos!
Viens !	Vir !
Venez !	Vir !
Secouez-vous !	Agite!
Secoue-toi !	Sacudir!
Allez !	Continue !
Viens !	Vir !
Venez !	Vir !
Laisse tomber !	Deixa para lá !
Laissez tomber !	Derrubar !
Laisse-le tomber !	Largue !
Laissez-le tomber !	Deixe cair!
Va chercher Tom.	Vá pegar Tom.
Sors.	Vá para fora.
Sortez !	Saia!
Dégage !	Claro !
Disparais !	Desaparecer!
Casse-toi.	Vá embora.
Dégagez !	Liberar!
Sors !	Vá para fora!
Sortez !	Saia!
Dégage !	Claro !
Disparais !	Desaparecendo!
Du balai !	Saia !
Fiche le camp.	Saia.
Oust !	OUTE!
Vers l'extérieur !	Para fora!
Fichez le camp !	Saia !
Sortez.	Saia.
Décampez !	DECAMP!
Décampe !	Decampe!
Sors.	Vá para fora.
Sortez !	Saia!
Dégage !	Claro !
Disparais !	Desaparecer!
Casse-toi.	Vá embora.
Dégagez !	Liberar!
Sors !	Vá para fora!
Sortez !	Saia!
Disparais !	Desaparecendo!
Fiche le camp.	Saia.
Oust !	OUTE!
Sortez.	Saia.
Bouge !	Mover!
Décampez !	DECAMP!
Décampe !	Decampe!
Dégage !	Claro !
Pars !	!
Allez-vous en !	Vá embora !
Déguerpissez.	Grau.
Cassez-vous.	Pausa.
Bouge !	Mover!
Décampez !	DECAMP!
Décampe !	Decampe!
Va te faire foutre !	Vá se danar !
Pars !	!
Dégage !	Claro !
Fous le camp !	Saia !
Pars d'ici.	Saia daqui.
Va t'en !	Vá embora !
Disparais !	Desaparecendo!
Déguerpissez.	Grau.
Cassez-vous.	Pausa.
Bouge !	Mover!
Décampez !	DECAMP!
Décampe !	Decampe!
Recule.	Voltar.
Rentrez à la maison.	Venha para casa.
Rentre à la maison.	Venha para casa.
Rentre chez toi.	Ir para casa.
Rentrez chez vous.	Ir para casa.
Va doucement !	Vá devagar!
Allez doucement !	Vá devagar!
Adieu !	Adeus !
À la revoyure.	Vejo você em breve.
Ciao.	TCHAU.
Attends un peu !	Espere um pouco !
Attendez un peu !	Espere um minuto !
Attendez.	Esperar.
Tiens bon !	Aguentar !
Tenez bon !	Segure firme !
Attendez.	Esperar.
Il est parti.	Ele saiu.
Il laissa tomber.	Ele deixou cair.
Il a laissé tomber.	Ele deixou cair.
Il court.	Ele está correndo.
Aide-moi !	Ajude-me !
À l'aide !	Ajuda !
Aide-moi.	Ajude-me.
Aidez-moi.	Ajude-me.
Aide-moi !	Ajude-me !
Aidez-nous !	Ajude-nos !
Aide-nous !	Ajude-nos !
Ne bouge plus !	Não se mexa !
Ne bougez plus !	Não se mexa !
Restez où vous êtes !	Fique onde está!
Attendez.	Esperar.
Ne quittez pas.	Segure a linha.
Ne quitte pas !	Não saia !
Fais un câlin à Tom.	Faça um abraço para Tom.
Je suis du même avis.	Eu concordo.
J'ai pleuré.	Chorei.
Je me suis assoupi.	Eu estava dormindo.
Je me suis assoupie.	Eu bati.
Je conduis.	Eu dirijo.
Je conduisis.	Eu dirigi.
J'ai tiré.	Eu puxei.
Je me suis figé.	Eu congelo.
Je me suis figée.	Eu congelo.
Je fume.	Eu fumo.
Je ronfle.	Eu ri.
Je pue.	Eu cheiro mal.
Je me suis tenu debout.	Eu levantei-me.
Je me suis tenue debout.	Eu segurei de pé.
J’ai promis.	Eu prometi.
J’ai juré.	Eu jurei.
J'essayai.	Eu tentei.
J'ai essayé.	Eu tentei.
J'ai tenté.	Eu tentei.
J’ai fait signe.	Eu assinei.
J'irai.	Eu vou.
Je suis Tom.	Eu sou Tom.
Je suis gras.	Eu sou ousado.
Je suis gros.	Eu sou gordo.
Je suis en forme.	Estou em boa forma.
Je suis touché !	Eu estou tocado !
Je suis touchée !	Eu sou tocado!
Je suis malade.	Estou doente.
Je suis triste.	Estou triste.
J'ai un coup de cafard.	Sinto-me deprimido.
Je suis malheureux.	Eu estou infeliz.
Je suis timide.	Eu sou tímido.
Je suis mouillé.	Estou molhada.
Je suis mouillée.	Estou molhada.
C'est bibi !	É BIBI!
Joignez-vous.	Juntar.
Joignez-vous à nous.	Junte-se a nós.
Garde-le !	Mantê-la !
Gardez-le !	Mantê-la !
Donne-lui un coup de pied.	Dê-lhe um chute.
Donnez-lui un coup de pied.	Dê-lhe um chute.
Tuez-le.	Mate ele.
Tue-le.	Mate ele.
Tue-la.	Mate isso.
Tuez-la.	Mate isso.
Embrasse-moi.	Me beija.
Embrassez-moi.	Me beija.
À terre !	Baixa !
Au sol !	No chão !
Verrouillez-le.	Trancá-lo.
Verrouille-le.	Trancá-lo.
Verrouillez-la.	Trancá-lo.
Verrouille-la.	Trancá-lo.
Moi aussi.	Eu também.
Passez à autre chose.	Vá para outra coisa.
Passe à autre chose.	Ir em frente.
Ouvrez-le.	Abra.
Ouvre-le.	Abra.
Ouvre-la.	Abra.
Ouvrez-la.	Abra.
Ouvre-moi !	Me abra !
Ouvre.	Abrir.
Faites équipe.	Equipe.
Parfait !	Perfeito !
Tirez dessus.	Puxe-o.
Tire dessus.	Atirar nele.
Appuie dessus.	Suporta isso.
Poussez-le.	Empurre-o.
Pousse-le.	Empurra isso.
Poussez-la.	Empurre-o.
Pousse-la.	Empurre-a.
À plus tard !	Até logo !
À bientôt !	Adeus !
À la prochaine !	Vejo você na próxima vez !
Ciao.	TCHAU.
À plus.	Vê você.
Ciao.	TCHAU.
Montre-moi !	Mostre-me !
Montrez-moi !	Mostre-me!
Taisez-vous !	Cale-se !
Ferme-la !	Cale-se !
Tais-toi !	Cala a sua boca !
Ferme-la !	Cale-se !
La ferme !	A Fazenda !
Inscrivez-vous.	Inscrever-se.
Inscris-toi.	Registre-se.
Pas grave.	Não é sério.
À plus tard !	Até logo !
Prends-le !	Pegue !
Prenez-le !	Pegue !
Prends-le !	Pegue !
Prenez-le !	Pegue !
Prenez-le.	Pegue.
Dis-moi !	Diga-me !
Dites-moi !	Diga-me !
Tom a gagné.	Tom ganhou.
Réveille-toi !	Acordar !
Réveille-toi !	Acordar !
Réveillez-vous !	Acordar !
Réveille-toi !	Acordar !
Réveillez-vous !	Acordar !
Lave-toi !	Se lave !
Lavez-vous !	Se lave!
Nous savons.	Nós sabemos.
Nous perdîmes.	Nós perdemos.
Nous avons perdu.	Nós perdemos.
Nous fûmes battus.	Nós fomos espancados.
Nous fûmes battues.	Nós fomos espancados.
Nous fûmes défaits.	Nós fomos derrotados.
Nous fûmes défaites.	Nós estávamos derrotando.
Nous avons été défaits.	Nós fomos derrotados.
Nous avons été défaites.	Nós fomos derrotados.
Nous avons été battus.	Nós fomos espancados.
Nous avons été battues.	Nós fomos espancados.
Bienvenue !	Receber !
Soyez le bienvenu !	De nada !
Qui courrait ?	Quem correria?
Qui a gagné ?	Quem ganhou ?
Qui l'a emporté ?	Quem ganhou isso?
Tu cours.	Você corre.
Vous avez gagné.	Você venceu.
Visez haut.	Awe High.
Vise haut.	Alvos superiores.
Suis-je gros ?	Eu sou gordo?
Suis-je grosse ?	Eu sou gordo?
Demande-leur.	Pergunte a eles.
Demandez-leur.	Pergunte a eles.
Recule !	Voltar!
Reculez.	Retornar.
Cassez-vous.	Pausa.
Recule !	Voltar!
Reculez.	Retornar.
Retire-toi !	Remova-se!
Retirez-vous.	Retire-se.
Cassez-vous.	Pausa.
Sois un homme !	Seja um homem !
Soyez un homme !	Seja um homem!
Soyez courageux !	Seja corajoso !
Soyez bref.	Ser breve.
Sois bref.	Ser breve.
Sois brève.	Ser breve.
Soyez brève.	Ser breve.
Soyez brefs.	Ser breve.
Soyez brèves.	Ser breve.
Sois calme !	Fique calmo !
Soyez calme !	Fique calmo !
Soyez calmes !	Fique calmo!
Aucune idée.	Nenhuma idéia.
J'en sais foutre rien.	Eu não sei nada sobre isso.
Appelle Tom.	Ligue para Tom.
Appelez Tom.	Ligue para Tom.
Courage !	!
Détends-toi !	Relaxar !
Menottez-le.	Menote isso.
Avance !	Avançar !
Avancez !	Ir!
Continue à rouler !	Continue a andar!
Continuez à rouler !	Continue rolando!
Trouve Tom.	Encontre Tom.
Trouvez Tom.	Encontre Tom.
Réparez ceci.	Reparar isso.
Répare ça.	Reparos que.
Dégage !	Claro !
Casse-toi.	Vá embora.
Pars !	!
Dégage !	Claro !
Fous le camp !	Saia !
Pars d'ici.	Saia daqui.
Va t'en !	Vá embora !
Écarte-toi !	Saia do caminho!
Disparais !	Desaparecendo!
Allez-vous en !	Vá embora !
Fiche le camp.	Saia.
Tire-toi de là.	Tome de lá.
Dégage.	Claro.
Va-t'en !	Vá embora !
Criss ton camp d'icit !	Criss seu acampamento de icit!
Fichez le camp.	Saia.
Déguerpissez.	Grau.
Cassez-vous.	Pausa.
Barrez-vous.	Vá embora.
Barre-toi.	Vá embora.
Va-t’en !	Vá embora !
Bouge !	Mover!
Décampez !	DECAMP!
Décampe !	Decampe!
Pars.	Pars.
Partez.	Sair.
Lâche-toi !	Vamos lá!
À terre !	Baixa !
Au sol !	No chão !
Descends.	Desce.
Descends !	Desce!
Descendez !	Sai fora!
Lâche-toi !	Vamos lá!
Lâchez-vous !	Solte !
À terre !	Baixa !
Au sol !	No chão !
Descends.	Desce.
Va voir ailleurs si j'y suis !	Vá ver em outro lugar se eu sou!
Dégage !	Claro !
Va au diable !	Vá para o inferno !
Déguerpissez.	Grau.
Cassez-vous.	Pausa.
Bouge !	Mover!
Décampez !	DECAMP!
Décampe !	Decampe!
Fiche le camp.	Saia.
Fichez le camp.	Saia.
Déguerpissez.	Grau.
Cassez-vous.	Pausa.
Bouge !	Mover!
Décampez !	DECAMP!
Décampe !	Decampe!
Sois réaliste !	Seja realista!
Allez !	Continue !
Vas-y.	Vá em frente.
En avant !	Em frente!
Va !	Ir !
Poursuis !	!
Poursuivez !	Prosseguir!
Passe devant !	Vá em frente !
Vas-y !	Vá em frente !
Allez-y !	Vá em frente !
Continuez !	Prosseguir!
Continue !	Continue indo !
Allez !	Continue !
Avance !	Avançar !
Allez !	Continue !
Vas-y.	Vá em frente.
Va !	Ir !
Poursuis !	!
Poursuivez !	Prosseguir!
Passe devant !	Vá em frente !
Vas-y !	Vá em frente !
Allez-y !	Vá em frente !
Continuez !	Prosseguir!
Continue !	Continue indo !
Allez !	Continue !
Avance !	Avançar !
Bien joué !	Bom jogo !
Bon boulot !	Bom trabalho !
Beau travail !	Bom trabalho !
Bravo !	Bem feito !
Attrape-le.	Pegue isso.
Attrapez-le.	Pega isso.
Amuse-toi bien !	Divirta-se !
Amusez-vous bien !	Divirta-se !
Il a parlé.	Ele falou.
Il a pris la parole.	Ele falou.
Il s'est exprimé.	Ele falou.
Il essaye.	Ele tenta.
Il est mouillé.	Ele está molhado.
Aide Tom.	Ajude Tom.
Aidez Tom.	Ajude Tom.
Aidez Tom !	Ajude Tom!
Salut, les mecs !	Oi, pessoal!
Comme c'est mignon !	Que fofo !
Trop mignon !	Muito fofo !
Trop mignonne !	Muito fofo !
Quelle profondeur ?	Que profundidade?
Comme elle est belle !	Ela é tão linda !
Comme c'est chouette !	Que legal!
Comme c'est gentil !	Que legal !
C'est du joli !	É bonito!
Comme c'est agréable !	Que legal!
Quelle grossièreté !	O que despertar!
Quelle sagesse !	Que sabedoria!
Dépêche-toi.	Se apresse.
Grouille !	Garoupa!
Pressez-vous !	Pressione!
Fiça !	Fiça!
Magne-toi !	Ir em frente !
Magnez-vous !	Magne!
Je suis Tom.	Eu sou Tom.
J'ai juré.	Eu jurei.
Je m'en suis bien sorti.	Eu saí.
Je m'en suis bien sortie.	Eu saí.
Je l'ai fait.	Eu fiz isso.
C'est moi qui l'ai fait.	Sou eu quem fez isso.
J'ai échoué.	Eu falhei.
J'ai oublié.	Eu esqueci.
J'ai compris.	Entendido.
J'ai fait une gaffe.	Eu fiz um erro.
J'ai compris.	Entendido.
J'ai capté.	Eu peguei.
J'ai aidé.	Eu ajudei.
J'ai sauté.	Eu pulei.
J’ai regardé.	Eu assisti.
J’ai râlé.	Eu grato.
J’ai fait signe de la tête.	Eu assenti.
J’ai obéi.	Eu obedeci.
Je téléphonai.	Eu telefonei.
J'ai téléphoné.	Liguei.
Je refuse.	Eu recuso.
Je le refuse.	Eu recuso.
Je me suis reposé.	Eu descansei.
Je me suis reposée.	Eu descansei.
Je l'ai vu.	Eu vi.
Je l’ai vu.	Eu vi.
J’ai soupiré.	Suspirei.
J'ai souri.	Eu sorri.
Je suis resté.	Eu fiquei.
Je suis restée.	Eu fiquei.
J’ai parlé.	Eu falei.
Je l'utilise.	Eu uso-o.
